Number of scenarios;Runtime;Objective
5;5.094812393188477;4893.3713
10;10.36883020401001;4959.6175
20;21.380248546600342;4853.572499999999
50;55.3961501121521;4857.148700000001
75;84.33257961273193;4784.0837
100;114.57541632652283;4749.606799999999
150;177.48585486412048;4704.8693
200;244.91066908836365;4742.358200000004
250;312.11447310447693;4772.336300000004
300;383.12109375;4769.445599999999
400;521.1266770362854;4777.813500000001
500;655.3166697025299;4771.132300000001
750;993.4723174571991;4732.495999999999
1000;1328.7417504787445;4724.810299999997
