Number of scenarios;Runtime;Objective
5;0.18826031684875488;439410.52359999996
10;0.3250894546508789;439450.60229999997
20;0.6211354732513428;406564.42500000005
50;1.5705323219299316;420885.8161
75;2.3568310737609863;433804.06860000006
100;3.1354053020477295;441343.141
150;4.797322511672974;443162.93490000005
200;6.450681924819946;441358.9564
250;8.077148914337158;444517.2664000002
300;9.738521337509155;445325.8304999998
400;13.163743734359741;445041.8476
500;16.575980186462402;443961.9456000003
750;25.36858081817627;441369.2352999998
1000;34.06956171989441;441258.3048999998
