Number of scenarios;Runtime;Objective
5;0.40827226638793945;4259.733700000001
10;0.6703147888183594;4400.1385
20;1.3595409393310547;4890.2809
50;3.4233384132385254;4978.086000000002
75;5.242082357406616;5010.1044
100;6.9509851932525635;5172.3447000000015
150;10.659342050552368;5273.424199999997
200;14.615420818328857;5234.571200000001
250;18.476916790008545;5231.263100000003
300;22.477432012557983;5259.5914999999995
400;31.073301792144775;5292.9681000000055
500;39.342121839523315;5300.6187
750;61.20025324821472;5333.668599999994
1000;82.95840716362;5308.357599999992
