Number of scenarios;Runtime;Objective
5;0.14782309532165527;193517.9682
10;0.23863458633422852;187806.53750000003
20;0.4521489143371582;167894.2583
50;1.1836779117584229;165247.92849999998
75;1.782395601272583;162079.4463
100;2.3759946823120117;161732.08139999988
150;3.5673811435699463;162526.8151000001
200;4.780552625656128;163632.2082
250;6.006815433502197;166286.1284999999
300;7.239033460617065;164098.52210000018
400;9.848315954208374;163253.59089999995
500;12.388148307800293;163094.87539999984
750;19.05152416229248;163339.05620000017
1000;25.97227191925049;161921.67969999986
