Number of scenarios;Runtime;Objective
5;0.26749587059020996;4315.9702
10;0.55106520652771;5479.1361
20;1.087127447128296;5979.032699999999
50;2.706918954849243;5605.356
75;4.162598133087158;5676.367799999999
100;5.6029956340789795;5693.763600000002
150;8.471606254577637;5655.684500000002
200;11.475480556488037;5847.7881
250;14.404675245285034;5766.457100000002
300;17.602317810058594;5782.265600000005
400;24.050979375839233;5808.666900000003
500;30.465795516967773;5762.188099999994
750;47.3611958026886;5741.123300000003
1000;65.28077340126038;5696.359799999995
