Number of scenarios;Runtime;Objective
5;0.05290794372558594;235624.11729999998
10;0.10558772087097168;191903.1106
20;0.162398099899292;167556.1098
50;0.41956377029418945;158712.97040000005
75;0.6224205493927002;162990.92669999998
100;0.8278510570526123;161432.46729999996
150;1.2479050159454346;158671.21810000003
200;1.6700875759124756;157797.56920000009
250;2.1208133697509766;157627.67490000004
300;2.5503716468811035;159201.31620000006
400;3.4121150970458984;158691.5513999999
500;4.34770131111145;158865.01390000002
750;6.720683813095093;157874.3555000001
1000;9.18476414680481;158279.56919999994
