Number of scenarios;Runtime;Objective
5;0.07621431350708008;146781.8466
10;0.1295335292816162;169340.55870000002
20;0.23836874961853027;180044.5872
50;0.6227474212646484;173434.9494
75;0.9453575611114502;172319.82400000002
100;1.2602643966674805;172467.33610000004
150;1.92454195022583;176361.64050000004
200;2.550084114074707;180074.31370000012
250;3.2419891357421875;180543.2673
300;3.8518009185791016;182049.85640000002
400;5.2654407024383545;181126.02930000005
500;6.582631349563599;180168.9114000001
750;10.177563667297363;180843.6778000003
1000;13.733925104141235;180550.88120000032
