Number of scenarios;Runtime;Objective
5;0.1766974925994873;557526.4153
10;0.27439284324645996;554868.3749
20;0.5189580917358398;580528.3201
50;1.324678897857666;556679.5303000001
75;1.964223861694336;559774.6986
100;2.612550973892212;553128.1326
150;3.9726738929748535;533565.5928000004
200;5.288557529449463;531958.28
250;6.6701743602752686;523741.8722999999
300;8.064160585403442;527176.4695000002
400;10.80630612373352;520995.43719999987
500;13.559461116790771;517620.7894999994
750;20.883588314056396;522595.09270000044
1000;28.166232109069824;524488.1720999996
