Number of scenarios;Runtime;Objective
5;2.626577138900757;5353.1912
10;4.504932403564453;5159.4753
20;8.61290717124939;5221.273
50;22.00212001800537;5095.860300000001
75;33.094820976257324;5069.5739
100;45.12533664703369;5101.108499999999
150;70.73249101638794;5121.515900000004
200;97.10741376876831;5122.9325
250;123.01502084732056;5108.003200000005
300;149.66150951385498;5150.909200000003
400;194.60252022743225;5142.292700000005
500;244.75109243392944;5134.0206000000035
750;372.8569483757019;5139.055899999999
1000;498.1224277019501;5144.881999999999
