Number of scenarios;Runtime;Objective
5;0.1554727554321289;323485.7002
10;0.26580190658569336;362717.96180000005
20;0.5679550170898438;371108.6786
50;1.3786258697509766;388336.2199999999
75;2.097399950027466;404271.12169999984
100;2.7941946983337402;401129.76139999984
150;4.202769041061401;404760.6341999999
200;5.7314064502716064;405372.24560000026
250;7.205235242843628;405832.1250000003
300;8.68634033203125;406752.15579999983
400;11.6334228515625;396808.64219999994
500;14.695715188980103;393654.6577999998
750;22.488487243652344;390883.3184000002
1000;30.670931339263916;391770.55189999973
