Number of scenarios;Runtime;Objective
5;0.03423285484313965;235624.11729999998
10;0.08163952827453613;191903.1106
20;0.1271672248840332;167556.1098
50;0.3158884048461914;158712.97040000005
75;0.49863433837890625;162990.92669999998
100;0.6538546085357666;161432.46729999996
150;0.9764084815979004;158671.21810000003
200;1.3353054523468018;157797.56920000009
250;1.6640632152557373;157627.67490000004
300;1.985285997390747;159201.31620000006
400;2.70737624168396;158691.5513999999
500;3.4373247623443604;158865.01390000002
750;5.382975101470947;157874.3555000001
1000;7.307483673095703;158279.56919999994
