Number of scenarios;Runtime;Objective
5;0.06434321403503418;195470.9698
10;0.12335062026977539;187806.53750000003
20;0.24351763725280762;167894.2583
50;0.6284773349761963;165247.92849999998
75;0.9693443775177002;162079.4463
100;1.2754247188568115;161732.08139999988
150;1.8943381309509277;162526.8151000001
200;2.58461856842041;163632.2082
250;3.2584776878356934;166286.1284999999
300;3.8918616771698;164098.52210000018
400;5.274873733520508;163253.59089999995
500;6.632586717605591;163094.87539999984
750;10.146499395370483;163339.05620000017
1000;13.805711507797241;161921.67969999986
