Number of scenarios;Runtime;Objective
5;0.12415266036987305;557526.4153
10;0.2100505828857422;554868.3749
20;0.43672919273376465;580528.3201
50;1.065173625946045;556679.5303000001
75;1.6349058151245117;559774.6986
100;2.211186647415161;553128.1326
150;3.30776047706604;533565.5928000004
200;4.45234489440918;531958.28
250;5.5725085735321045;523741.8722999999
300;6.727345943450928;527176.4695000002
400;9.085930585861206;520995.43719999987
500;11.49234127998352;517620.7894999994
750;17.696539163589478;522595.09270000044
1000;24.077202081680298;524488.1720999996
