Number of scenarios;Runtime;Objective
5;0.10828924179077148;323485.7002
10;0.18082213401794434;362717.96180000005
20;0.37654972076416016;371108.6786
50;0.9630060195922852;388336.2199999999
75;1.4314568042755127;404271.12169999984
100;1.9126999378204346;401129.76139999984
150;2.9208221435546875;404760.6341999999
200;3.9066061973571777;405372.24560000026
250;4.940279483795166;405832.1250000003
300;5.947648525238037;406752.15579999983
400;8.023217916488647;396808.64219999994
500;10.084370374679565;393654.6577999998
750;15.56311297416687;390883.3184000002
1000;21.127030849456787;391770.55189999973
