Number of scenarios;Runtime;Objective
5;1.8476920127868652;4971.0513
10;3.6430041790008545;4663.212799999999
20;7.314666271209717;4840.8994999999995
50;18.67128849029541;4819.106500000001
75;28.214011192321777;4834.931699999998
100;38.480616092681885;4839.829800000001
150;58.59925627708435;4743.696700000001
200;79.9108636379242;4735.435
250;102.84525632858276;4742.059700000002
300;124.93269395828247;4717.9309
400;172.69683599472046;4719.774799999999
500;220.119642496109;4713.363700000002
750;344.6307954788208;4740.679000000005
1000;470.20443201065063;4746.485900000002
