Number of scenarios;Runtime;Objective
5;0.3324563503265381;7850.1128
10;0.671076774597168;7599.110000000001
20;1.2932541370391846;6387.5188
50;3.342196464538574;6720.250300000003
75;5.056286334991455;6760.193999999999
100;6.80073618888855;6779.657499999999
150;10.279938220977783;6853.7829
200;13.926968574523926;6912.196900000001
250;17.591992616653442;6920.4446
300;21.436918258666992;6835.965399999995
400;29.15507173538208;6795.550700000006
500;37.31985664367676;6818.866599999999
750;59.311649560928345;6818.886699999998
1000;82.3295841217041;6777.065599999989
